id,nome (marca),nome generico,laboratorio,quantidade,preco
796,Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate,Bryant Ranch Prepack,1,$132.16
797,Zolpidem Tartrate,zolpidem tartrate,Qualitest Pharmaceuticals,11,$118.44
798,PAPAYA,papaya,"Allergy Laboratories, Inc.",69,$153.59
799,Hydralazine Hydrochloride,Hydralazine Hydrochloride,Camber Pharmaceuticals,31,$71.66
800,Rescue 5,"Cherry Plum, Clematis, Impatiens, Rose Rose, Star of Bethlehem","Energique, Inc.",65,$186.46
801,Hydromorphone HCl,Hydromorphone HCl,Cantrell Drug Company,49,$22.45
802,COMTREX,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl","Novartis Consumer Health, Inc.",78,$105.56
803,NESACAINE,chloroprocaine hydrochloride,"General Injectables & Vaccines, Inc",58,$160.99
804,MK Alcohol Swabstick Sterile,ISOPROPYL ALCOHOL,"Changzhou Maokang Medical Products Co., Ltd",20,$178.02
805,COUGH HEADACHE,LYCOPUS VIRGINICUS,Natural Health Supply,15,$2.69
806,Ambien CR,zolpidem tartrate,Rebel Distributors Corp.,50,$16.64
807,"Pollens - Trees, Melaleuca (Punk Tree) Melaleuca quinquenervia",Melaleuca (Punk Tree) Melaleuca quinquenervia,Jubilant HollisterStier LLC,2,$20.65
808,rifampin,rifampin,"Lupin Pharmaceuticals, Inc.",55,$125.51
809,ALTABAX,retapamulin,GlaxoSmithKline LLC,12,$178.47
810,Healing,"Calendula officinalis, Silacea",Wise Woman Herbals,95,$124.63
811,Head and Shoulders,Pyrithione Zinc,Procter & Gamble Manufacturing Co.,100,$57.87
812,Metronidazole Topical Gel,metronidazole,Prasco Laboratories,10,$115.19
813,Jason Pure Natural Sun Kids Natural Sunscren Broad Spectrum SPF45,"Homosalate, Octocrylene, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Titanium Dioxide","The Hain Celestial Group, Inc.",33,$62.19
814,RENOKIN HAIR REVITALIZING,Allantoin,"Caregen Co., Ltd.",45,$149.34
815,Atomoxetine hydrochloride,Atomoxetine hydrochloride,Sandoz Inc,72,$182.43
816,Mefenamic acid,Mefenamic acid,"Paddock Laboratories, LLC.",68,$141.09
817,Beyond BB Perfecting Foundation Broad Spectrum SPF 15 Sunscreen,Titanium Dioxide and Zinc Oxide,"Tarte, Inc",22,$185.53
818,LBEL,Octinoxate and Oxybenzone,"Ventura Corporation Ltd. (San Juan, P.R)",39,$69.52
819,Ramipril,Ramipril,Camber Pharmaceuticals,13,$92.54
820,HZ,"Lycopodium clavatum, Mezereum, Natrum acidum, Ranunculus bulbosus, Rhus Toxicodendron, Sepia, Thuja occidentalis",Apotheca Company,22,$88.60
821,Tussnex FM Cold and Sinus,"Acteaminophen, Guaifenesin, Phenylephrine HCl",Guardian Drug Company,26,$65.84
822,NUCYNTA,tapentadol hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,32,$73.38
823,BAROX,Menthol,Dr.JangLab Inc.,89,$183.60
824,Balsalazide Disodium,Balsalazide Disodium,"Roxane Laboratories, Inc",21,$77.82
825,Donnatal Extentabs,"Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate, Scopolamine Hydrobromide","PBM Pharmaceuticals, Inc",11,$34.12
826,Metformin Hydrochloride,Metformin Hydrochloride,REMEDYREPACK INC.,17,$86.38
827,Mucor,Mucor racemosus,USPharmaCo,24,$168.74
828,Messima EX,PHELLINUS LINTEUS MYCELIUM,"Yein Trading & Global Co., Ltd",98,$54.78
829,LBEL FILLING EFFECT FOUNDATION SPF 10,Octinoxate,Ventura Corporation LTD,66,$60.11
830,Quillivant,methylphenidate hydrochloride,"NextWave Pharmaceuticals, Inc.",30,$63.61
831,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,Claris Lifesciences Inc.,3,$172.89
832,FENTANYL TRANSDERMAL SYSTEM,fentanyl transdermal system,Rebel Distributors Corp.,56,$108.27
833,Doxazosin mesylate,doxazosin mesylate,Greenstone LLC,26,$51.45
834,Nitrogen,Nitrogen,Southern Gas & Supply LLC,3,$51.55
835,BUCKWHEAT,buckwheat,"Allergy Laboratories, Inc.",77,$94.17
836,LBEL,"Octinoxate, Octisalate, Oxybenzone, and Titanium dioxide",Ventura Corporation Ltd.,8,$93.03
837,Lidocaine and Prilocaine,lidocaine and prilocaine,"Actavis Pharma, Inc.",52,$79.67
838,Halls,Menthol,Mondelez Global LLC,69,$64.00
839,Octreotide acetate,Octreotide acetate,Wockhardt Limited,60,$170.07
840,ACNE CLEANSING PADS,SALICYLIC ACID,DR LIN SKINCARE,74,$15.56
841,Terazosin hydrochloride,Terazosin hydrochloride,"Preferred Pharmaceuticals, Inc",94,$168.63
842,Isosorbide Dinitrate,Isosorbide Dinitrate,REMEDYREPACK INC.,17,$33.15
843,"PHOENIX HEALTHCARE SOLUTIONS, LLC",Povidone Iodine,"PHOENIX HEALTHCARE SOLUTIONS, LLC",87,$110.94
844,Formica Stibium comp. Special Order,Formica Stibium comp. Special Order,Uriel Pharmacy Inc.,51,$87.77
845,Radiaderm System Kit,Dimethicone,Water-Jel Technologies,78,$18.80
846,OraBrite,SODIUM FLUORIDE,"Oraline, Inc.",100,$119.05
847,Spironolactone,spironolactone,"UDL Laboratories, Inc.",47,$184.16
848,Depo-Provera,medroxyprogesterone acetate,"Physicians Total Care, Inc.",69,$59.31
849,Amitriptyline Hydrochloride,Amitriptyline Hydrochloride,Unit Dose Services,37,$85.37
850,Betamethasone Dipropionate,Betamethasone Dipropionate,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,97,$7.56
851,"Pollens - Trees, Mulberry Mix",Mulberry Mix,Jubilant HollisterStier LLC,28,$52.25
852,Carimune,HUMAN IMMUNOGLOBULIN G,CSL Behring AG,15,$159.83
853,Adderall,"Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","Physicians Total Care, Inc.",77,$152.37
854,Alcohol Prep Pads,isopropyl alcohol,"Kareway Product, Inc.",37,$76.55
855,Metronidazole,Metronidazole,Heritage Pharmaceuticals Inc.,10,$118.90
856,Leader,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",Cardinal Health,64,$128.70
857,Halobetasol Propionate,Halobetasol Propionate,Perrigo New York Inc,91,$57.94
858,Degree,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,91,$90.31
859,Disulfiram,Disulfiram,Carilion Materials Management,4,$191.71
860,4 Way,Phenylephrine hydrochloride,"Novartis Consumer Health, Inc.",64,$30.50
861,Hyoscyamine Sulfate,HYOSCYAMINE SULFATE,"Paddock Laboratories, LLC",33,$121.08
862,Ampicillin and Sulbactam,Ampicillin sodium and Sulbactam sodium,"Hospira, Inc",96,$146.62
863,Nabumetone,Nabumetone,"Altura Pharmaceuticals, Inc.",92,$173.60
864,Umcka Original ColdCare,Pelargonium sidoides,Nature's Way Holding Co.,24,$144.05
865,Aspirin,Aspirin,AmerisourceBergen (Good Neighbor Pharmacy) 46122,92,$69.85
866,HGH,"HGH, Hepar Bovinum, Pituitary Bovinum",ProBLEN,29,$19.40
867,Levofloxacin,Levofloxacin,Macleods Pharmaceuticals Limited,32,$181.42
868,Folic Acid,Folic Acid,Aidarex Pharmaceuticals LLC,35,$112.03
869,Senna and Docusate Sodium,Senna and Docusate Sodium,Sunrise Pharmaceutical Inc,39,$0.10
870,Sulfasalazine,Sulfasalazine,Major Pharmaceuticals,56,$131.65
871,Oxygen,Oxygen,S & G Home Care dba R & M Transfill,67,$179.11
872,Smart Sense,Fluoride,Kmart Corporation,77,$194.56
873,Diltiazem Hydrochloride,Diltiazem Hydrochloride,Actavis Elizabeth LLC,80,$160.07
874,Ortho-Novum,norethindrone and ethinyl estradiol,"Janssen Pharmaceuticals, Inc.",94,$70.00
875,"SODIUM SULFACETAMIDE, SULFUR","SODIUM SULFACETAMIDE, SULFUR","AUSTIN PHARMACEUTICALS, LLC",24,$57.01
876,health mart famotidine,Famotidine,McKesson,18,$152.06
877,McKesson Antimicrobial Hand,Triclosan,McKesson Medical-Surgical Inc.,42,$24.43
878,Venlafaxine Hydrochloride,venlafaxine hydrochloride,Kremers Urban Pharmaceuticals Inc.,8,$49.71
879,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Fenwal, Inc.",28,$105.75
880,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,Torrent Pharmaceuticals Limited,83,$175.43
881,Phenazopyridine Hydrochloride,Phenazopyridine,Clinical Solutions Wholesale,55,$5.02
882,BLEMISH,Benzoyl peroxide,Kamins Dermatologics Inc.,87,$136.61
883,Refenesen,guaifenesin,Reese Pharmaceutical Co.,51,$74.15
884,Clarity Clear Skin Essentials,SALICYLIC ACID,"Melaleuca, Inc.",15,$143.13
885,Bronchial Cough Therapy,"ANTIMONY POTASSIUM TARTRATE - PROTORTONIA CACTI - DROSERA ROTUNDIFOLIA - ECHINACEA, UNSPECIFIED - CALCIUM SULFIDE - HUMAN SPUTUM, BORDETELLA PERTUSSIS INFECTED - SPONGIA OFFICINALIS SKELETON, ROASTED -",TRP Company,14,$25.55
886,Calloused,"Allium sativum, Anacardium orientale, Calendula officinalis, Capsicum annuum, Ceanothus americanus, Chamomilla, Chelidonium majus, Conium maculatum, Kali carbonicum, Lobelia cardinalis, Mancinella, Myristica sebifera, Pinus sylvestris, flos, Stigmata maidis, Sepia, Taraxacum officinale, Thea sinensis",King Bio Inc.,47,$143.45
887,Latuda,lurasidone hydrochloride,Sunovion Pharmaceuticals Inc.,55,$162.51
888,ONDANSETRON,ONDANSETRON,DIRECT RX,3,$197.44
889,HydrOXYzine Hydrochloride,HydrOXYzine Hydrochloride,McKesson Packaging Services Business Unit of McKesson Corporation,61,$36.02
890,Leader migraine formula,"Acetaminophen, Aspirin, Caffeine",Cardinal Health,38,$109.83
891,Tizanidine Hydrochloride,Tizanidine Hydrochloride,"AvKARE, Inc.",98,$136.72
892,Nitrogen,Nitrogen,ABCO Welding and Industrial Supply Inc,6,$132.49
893,Felodipine,Felodipine,"NCS HealthCare of KY, Inc dba Vangard Labs",62,$141.70
894,AVONEX,interferon beta-1a,Biogen Idec MA Inc.,8,$180.51
895,Chlorpromazine Hydrochloride,Chlorpromazine Hydrochloride,"Physicians Total Care, Inc.",46,$13.32
896,LES BEIGES,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,69,$71.28
897,Multi-Vitamin Fluoride,"Vitamin A, ASCORBIC ACID, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL ACETATE, THIAMINE HYDROCHLORIDE, RIBOFLAVIN 5-PHOSPHATE SODIUM, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, CYANOCOBALAMIN, and SODIUM FLUORIDE",Stratus Pharmaceuticals,76,$102.26
898,Homeopathic Yeast Relief Formula,"Candida albicans, Pulsatilla, Sepia, Thuja occidentalis",Indiana Botanic Gardens,63,$68.61
899,Chaetomium globosum,Chaetomium globosum,"Nelco Laboratories, Inc.",23,$4.24
900,arthritis pain reliever,Acetaminophen,Walgreen Company,32,$68.71
901,Pure Petroleum,White Petroleum,Pan Aromas LLC,39,$77.33
902,Pantoprazole Sodium,Pantoprazole Sodium,REMEDYREPACK INC.,12,$19.24
903,Ropinirole,Ropinirole,Actavis Elizabeh LLC,43,$126.54
904,Clopidogrel Bisulfate,Clopidogrel Bisulfate,Torrent Pharmaceuticals Limited,34,$21.06
905,equate stomach relief,Bismuth subsalicylate,Wal-Mart Stores Inc,86,$180.50
906,Permethrin,Permethrin,REMEDYREPACK INC.,62,$89.87
907,Quetiapine fumarate,Quetiapine fumarate,Dr.Reddy's Laboratories Limited,25,$39.64
908,LESCOL,fluvastatin sodium,"Physicians Total Care, Inc.",72,$120.79
909,acyclovir,acyclovir,Zydus Pharmaceuticals (USA) Inc.,19,$134.59
910,Diclofenac Sodium,Diclofenac Sodium,Sandoz Inc,89,$76.11
911,isosorbide mononitrate,isosorbide mononitrate,"Aphena Pharma Solutions - Tennessee, LLC",3,$170.07
912,tussin,Dextromethorphan Hydrobromide,CVS Pharmacy,56,$153.42
913,BRYONIA ALBA,BRYONIA ALBA ROOT,Hyland's,48,$0.02
914,Sun Defense UVscreen SPF 48,Ensulizole Homosalate Octinoxate Octocrylene Zinc oxide,Kamins Dermatologics Inc.,61,$170.67
915,Dexamethasone,Dexamethasone,"Physicians Total Care, Inc",34,$16.32
916,Benazepril Hydrochloride,Benazepril Hydrochloride,REMEDYREPACK INC.,69,$53.83
917,4 in 1 Pressed Mineral SPF 15 Light Tan,Titanium Dioxide,PUR MINERALS,4,$89.02
918,Gasalia,"ACTIVATED CHARCOAL, LYCOPODIUM CLAVATUM SPORE, NUTMEG, DAIKON",Laboratoires Boiron,25,$29.91
919,FRAICHEUR VERVEINE ANTIPERSPIRANT AND DEODORANT ROLL-ON,ALUMINUM SESQUICHLOROHYDRATE,YVES ROCHER NORTH AMERICA INC,70,$164.77
920,Trianex,triamcinolone acetonide,"Upsher-Smith Laboratories, Inc.",97,$157.59
921,Pramipexole Dihydrochloride,Pramipexole Dihydrochloride Tablets,Endo Pharmaceuticals Inc. DBA Endo Generic Products,60,$52.44
922,ANILINUM,ANILINUM,HOMEOLAB USA INC.,67,$134.22
923,Amrix,Cyclobenzaprine Hydrochloride,STAT RX USA LLC,75,$14.37
924,SINGULAIR,montelukast sodium,Cardinal Health,54,$151.81
925,Tizanidine Hydrochloride,Tizanidine Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,48,$72.73
926,antacid liquid,"Aluminum hydroxide, Magnesium hydroxide, Simethicone",CVS Pharmacy,53,$155.66
927,Neutrogena Age Shield Face,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",Neutrogena Corporation,42,$62.39
928,Klaron,sulfacetamide sodium,Valeant Pharmaceuticals North America LLC,88,$61.62
929,Irbesartan and Hydrochlorothiazide,Irbesartan and Hydrochlorothiazide,Qualitest Pharmaceuticals,53,$117.95
930,simply right nicotine,Nicotine Polacrilex,Sam's West Inc,68,$132.44
931,Advanced Hand Sanitizer,Ethyl Alcohol,Safeway Inc.,52,$30.98
932,Softlips Coral Gloss,"Dimethicone, Octinoxate",The Mentholatum Company,74,$162.93
933,Allerstat,"Baptisia tinctoria, Echinacea, Allium cepa",Apotheca Company,99,$73.13
934,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Apotex Corp.,72,$105.49
935,Hemorrhoids Relief,"HORSE CHESTNUT,ALOE,HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK,NITRIC ACID,PAEONIA OFFICINALIS ROOT,SEPIA OFFICINALIS JUICE.",Homeocare Laboratories,73,$130.33
936,ControlRx Multi,sodium fluoride,3M ESPE Dental Products,32,$193.82
937,bareMinerals Prime Time BB Primer Daily Defense Broad Spectrum SPF 30,Titanium Dioxide and Zinc Oxide,"Bare Escentuals Beauty, Inc.",93,$102.06
938,all day allergy d,"Cetirizine HCl, Pseudoephedrine HCl",Kroger Company,70,$87.93
939,a d,Loperamide HCl,Western Family Foods Inc,76,$138.62
940,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE","codeine phosphate, butalbital, caffeine, and acetaminophen capsule","Physicians Total Care, Inc.",100,$94.33
941,Crataegus Onopordon Special Order,Crataegus Onopordon Special Order,Uriel Pharmacy Inc.,27,$70.27
942,FLUZONE Intradermal,"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED), and INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 BX-51B ANTIGEN (FORMALDEHYDE INACTIVATED)",Sanofi Pasteur Inc.,24,$158.04
943,LEVAQUIN,levofloxacin,Cardinal Health,39,$34.34
944,Welchol,colesevelam hydrochloride,"Physicians Total Care, Inc.",65,$87.18
945,Cyclophosphamide,Cyclophosphamide,"Roxane Laboratories, Inc",90,$134.76
946,Hydrocodone Bitartrate and Homatropine Methylbromide,Hydrocodone Bitartrate and Homatropine Methylbromide,"Physicians Total Care, Inc.",83,$9.07
947,Methylphenidate Hydrochloride,Methylphenidate Hydrochloride,"Mallinckrodt, Inc.",60,$119.14
948,Antibacterial Foaming Hand Cleanser,triclosan,"Jets, Sets, & Elephants Beauty Corp.",37,$76.19
949,NATURA-LAX,polyethylene glycol 3350,Chain Drug Marketing Association,83,$24.77
950,Salsalate,Salsalate,Bryant Ranch Prepack,66,$122.89
951,Nitroglycerin,Nitroglycerin,"PD-Rx Pharmaceuticals, Inc.",39,$74.92
952,Inflammago,"Arnica , Dulcamara, Bryonia , Berberis , Rhus tox",Feelgood Health,29,$165.62
953,Lexapro,ESCITALOPRAM OXALATE,Unit Dose Services,27,$70.17
954,Res-Q Topical Analgesic Soothing,LIDOCAINE HYDROCHLORIDE,CONAIR CORPORATION,4,$41.51
955,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,"Dispensing Solutions, Inc.",1,$59.65
956,Alprazolam,alprazolam,Mylan Pharmaceuticals Inc.,89,$87.31
957,AVAPRO,IRBESARTAN,"Physicians Total Care, Inc.",6,$192.39
958,Ampicillin and Sulbactam,AMPICILLIN SODIUM and SULBACTAM SODIUM,"Hospira, Inc.",65,$97.78
959,Nitrostat,nitroglycerin,REMEDYREPACK INC.,41,$12.31
960,Meloxicam,Meloxicam,"Life Line Home Care Services, Inc.",66,$170.22
961,Ibuprofen,Ibuprofen,REMEDYREPACK INC.,82,$164.64
962,Azathioprine,Azathioprine,"Aphena Pharma Solutions - Tennessee, LLC",67,$99.47
963,FRAXINUS AMERICANA POLLEN,White Ash,"ALK-Abello, Inc.",16,$40.06
964,APIOLUM,APIOLUM,HOMEOLAB USA INC.,45,$198.08
965,Tretinoin,Tretinoin,"Triax Pharmaceuticals, LLC",8,$65.16
966,Gas Relief,SIMETHICONE,LIVE BETTER (The Great Atlantic & Pacific Tea Company),91,$152.32
967,Mucinex,"acetaminophen, dextromethorphan hydrobromide, guaifenesin, and phenylephrine hydrochloride",Reckitt Benckiser LLC,72,$4.65
968,Betamethasone Dipropionate,Betamethasone Dipropionate,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,61,$102.85
969,AHC Intense Contour Balm Light,Titanium Dioxide,"Carver Korea Co.,Ltd.",86,$152.80
970,Healthy Accents Cold Sore Treatment,Camphor,DZA Brands LLC,44,$97.54
971,nasal decongestant,Oxymetazoline HCl,Safeway,18,$129.18
972,Felbamate,felbamate,Wallace Pharmaceuticals Inc.,36,$99.64
973,Metoprolol Tartrate,Metoprolol Tartrate,Major Pharmaceuticals,16,$77.51
974,Clean Xpress Alcohol Gel Instant Skin Sanitizer,Clean Xpress Alcohol Gel Instant Skin Santizer,"Spartan Chemical Company, Inc.",99,$69.38
975,ANTIBACTERIAL,TRICLOSAN,WEGMANS FOOD MARKETS INC,66,$6.63
976,PATADAY,olopatadine hydrochloride,"Alcon Laboratories, Inc.",98,$190.75
977,INNOPRAN,propranolol hydrochloride,GlaxoSmithKline LLC,53,$24.54
978,Doxycycline,doxycycline,American Health Packaging,68,$14.68
979,Demeclocycline Hydrochloride,Demeclocycline Hydrochloride,Barr Laboratories Inc.,28,$165.82
980,Stavudine,Stavudine,"Camber Pharmaceuticals, Inc.",38,$38.76
981,Armour Thyroid,"THYROID, PORCINE","Forest Laboratories, Inc",46,$41.42
982,Diclofenac Sodium and Misoprostol,Diclofenac Sodium and Misoprostol,"AvKARE, Inc.",71,$84.26
983,Lorazepam,LORAZEPAM,"Hospira, Inc.",14,$33.44
984,California Sycamore,California Sycamore,"Antigen Laboratories, Inc.",39,$3.36
985,CLARINS Broad Spectrum SPF 15 Titanium Dioxide-Sunscreen Extra-Firming Foundation Tint 103,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,27,$182.38
986,Rutin,Rutin,"Deseret Biologicals, Inc.",99,$67.49
987,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,DIRECT RX,17,$61.96
988,Oxygen,Oxygen,Advanced Oxy-Med Services Inc,25,$64.82
989,Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,REMEDYREPACK INC.,89,$148.27
990,ADVANCED CELL BOOSTING EX TONER,Glycerin,"NATURE REPUBLIC CO., LTD.",95,$23.98
991,Treatment Set TS349357,Treatment Set TS349357,"Antigen Laboratories, Inc.",19,$193.71
992,Hyoscyamine Sulfate,Hyoscyamine Sulfate,Clinical Solutions Wholesale,53,$43.79
993,Meprobamate,Meprobamate,Dr.Reddy's Laboratories Limited,16,$1.81
994,Citalopram,Citalopram,"Golden State Medical Supply, Inc.",79,$60.87
995,NAPRELAN,naproxen sodium,Rebel Distributors Corp,91,$100.58
996,Risperidone,risperidone,"Aphena Pharma Solutions - Tennessee, LLC",73,$19.54
997,Flawless Finish Bare Perfection Makeup SPF 8 Toasty Beige,Octinoxate,"Elizabeth Arden, Inc",88,$85.08
998,Metoclopramide,Metoclopramide,REMEDYREPACK INC.,73,$11.74
999,TRITICUM AESTIVUM POLLEN,Wheat Pollen,"ALK-Abello, Inc.",99,$146.34
1000,ibuprofen,ibuprofen,REMEDYREPACK INC.,56,$181.41
